doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
1,05.05.26 08:30,"Game 7 is where legends are made and 'what ifs' go to die. Tonight in Cleveland, it’s not about the regular season anymore—it’s about who wants it more. 🏀🔥 #NBAPlayoffs",https://s.yimg.com/ny/api/res/1.2/BKZ1yT_AlvCRI2NV1EIRUQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTI0MDA7aD0xNjAwO2NmPXdlYnA-/https://s.yimg.com/uu/api/res/1.2/LdlXznr8CZ2l8ANhrvwZRg--~B/aD00ODg4O3c9NzMzMjthcHBpZD15dGFjaHlvbg--/https://d29szjachogqwa.cloudfront.net/images/2026-05/793de7f5-0cbf-42b9-bf73-b6f8481654e3,,40,6,30,Tokyyo,Otokyyo,World #1| Inspiring the world one arrow at a time.,https://images.unsplash.com/photo-1522506209496-4536d9020ec4?q=80&w=1674&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4523,0,0,,AI,1
2,05.05.26 08:31,"Time to let AI 🤖 pick your next Powerball numbers 🎰
Be honest… would you give it a shot? 👀👍
Click the link and get your AI-generated Powerball numbers:",https://i.ibb.co/TMJpBqHT/AI-Generated-Condition.png,,15,5,,Powerball,PowerBall,"Sharing jackpot updates, winning numbers, and lottery news.",https://i.ibb.co/8L2YN4zg/Powerball.jpg,790000,0,1,https://www.powerball.com/,AI,2
3,05.05.26 08:32,Checking my portfolio today and seeing Apple up 5%... finally my 'buy the dip' strategy didn't just keep dipping. We eating good tonight! 🍎📈,,,7,0,0,WanderlustGal,WanderlustGalTravel,Travel blogger capturing the wonders of the world.,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,15600,0,0,,AI,3
4,05.05.26 08:33,Does anyone else refresh their portfolio every 30 seconds like the numbers are going to change faster if I stare at them? No? Just me? 📈👀,,,10,3,0,TrailTrekker,TrailTrekkerLife,Adventure seeker on a mission to hike the globe's most scenic routes.,https://images.unsplash.com/photo-1682695795931-a546abdb6733?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3721,0,0,,AI,4
5,05.05.26 08:34,I just watched The Devil Wears Prada 2. I can’t believe the first one came out almost 20 years ago.,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/627053304_841993738888956_9186721282294786332_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7b2446&_nc_ohc=g2lj3uN6aVAQ7kNvwElddA5&_nc_oc=AdrUWBBuwb2EulRhwb7BxQG15HxIsRX1Veu9VmHFp7Bk8t6LlCO7fHvotMRitT-PEd4&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=oG_jUuLdN0Bl5tpUS1Z8Xg&_nc_ss=7b2a8&oh=00_Af5sifKzVpS-q6yZ2Y0DJQ2kugo3kImPIVRXWixa5QQECw&oe=69FED4D8,,13,2,0,EcoEnthusiast,EcoEnthusiast,Passionate about wildlife conservation and eco-friendly travels.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,9832,0,0,,AI,5
6,05.05.26 08:35,First class isn't just about the legroom; it’s about the mindset. Surround yourself with success and it starts to rub off on you. 🥂💼,https://images.ctfassets.net/ov8o7v78mnye/77De4NgQG4KUHdwK2rUP3R/b29a024ce45f65561618f2adcdce6ba0/Untitled-design-2025-01-31T143150.959.png?w=1280&f=center&q=85&fm=webp,,8,0,0,NaturePhotog,CaptureTheWild,Photographer focusing on the untamed beauty of the outdoors.,https://images.unsplash.com/photo-1619365734050-cb5e64a42d43?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,5470,0,0,,AI,6
7,05.05.26 08:36,"Nothing beats a long dinner with someone who’s been there since the beginning. We’re both playing on a different level now, but the hunger is the same. 📈🥂",,,1,0,0,Sam197,Sam197,Two kids and one cat.,https://as2.ftcdn.net/v2/jpg/01/19/05/71/1000_F_119057199_YSS8CAnnkvQCzPhZOj3aYfNsx0CQ41sT.jpg,35,0,0,,AI,7
8,05.05.26 08:37,Exploring Nice today. The energy here is different—everyone is chasing something big. You can feel the electricity in the streets. 🧧✨,https://images.squarespace-cdn.com/content/v1/62015f66f840ef671da14ae7/193c099b-9e13-4b8e-b3b8-5f7432efff0e/Niew+of+Nice%2C+France+beach.JPG?format=2500w,,3,0,0,SimplicityLover,BackToBasics,Advocate for simple living and the preservation of nature's beauty.,https://images.unsplash.com/photo-1541757088-1c919081357f?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,422,0,0,,AI,8
9,05.05.26 08:38,"Social media trends move so fast now that by the time I finally understand one joke or meme format, people have already moved on to something else.",,,12,1,0,TheOutdoorVoice,VoiceOutdoors,Outdoor enthusiast voicing out on park policies and management.,https://images.unsplash.com/photo-1598966739654-5e9a252d8c32?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1120,0,0,,AI,9
10,05.05.26 08:39,"Some songs immediately remind you of a specific time period, even if you haven’t heard them in years.",https://yellow.radio/wp-content/uploads/2022/03/Michael-Jackson-Dont-stop-til-you-get-enough.png,,15,6,2,NatureFanatic,NatureFanatic88,Lover of all things nature. Exploring one national park at a time.,https://images.unsplash.com/photo-1522506209496-4536d9020ec4?q=80&w=1674&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4523,0,0,,AI,10
